user_id,interest_code
1,DANCING
1,BOARD_GAMES
1,FITNESS
1,GARDENING
1,ANIMALS
1,READING
2,HIKING
2,PHOTOGRAPHY
2,FASHION
3,HIKING
3,ANIMALS
4,PHOTOGRAPHY
4,YOGA
4,BOARD_GAMES
4,WRITING
4,SPORTS
5,ART
5,HIKING
5,ANIMALS
5,DANCING
5,FASHION
6,GAMING
6,BOARD_GAMES
7,BOARD_GAMES
7,MOVIES
7,GARDENING
7,COOKING
8,ART
8,GARDENING
8,MOVIES
8,COOKING
8,MUSIC
9,YOGA
9,SPORTS
9,READING
9,FASHION
9,GAMING
10,VOLUNTEERING
10,BOARD_GAMES
10,YOGA
10,PHOTOGRAPHY
11,FASHION
11,PHOTOGRAPHY
11,READING
11,VOLUNTEERING
11,COOKING
11,ANIMALS
12,BOARD_GAMES
12,GARDENING
12,COOKING
12,READING
13,TRAVEL
13,FITNESS
14,PHOTOGRAPHY
14,FASHION
14,TRAVEL
15,ANIMALS
15,WRITING
15,READING
16,VOLUNTEERING
16,COOKING
16,HIKING
16,YOGA
16,SPORTS
17,DANCING
17,FASHION
17,ANIMALS
18,MOVIES
18,COOKING
18,BOARD_GAMES
18,GARDENING
19,TRAVEL
19,FASHION
19,MOVIES
20,VOLUNTEERING
20,GARDENING
20,YOGA
20,ANIMALS
20,GAMING
20,MOVIES
21,FITNESS
21,HIKING
21,YOGA
22,SPORTS
22,TRAVEL
22,GAMING
22,READING
23,HIKING
23,MOVIES
23,READING
23,MUSIC
24,VOLUNTEERING
24,GAMING
24,DANCING
24,SPORTS
25,ANIMALS
25,ART
25,DANCING
26,DANCING
26,SPORTS
26,MUSIC
27,MUSIC
27,GARDENING
28,TRAVEL
28,VOLUNTEERING
28,ART
28,MUSIC
28,MOVIES
29,DANCING
29,SPORTS
29,PHOTOGRAPHY
29,MOVIES
30,BOARD_GAMES
30,FITNESS
31,HIKING
31,SPORTS
31,MUSIC
31,DANCING
31,GAMING
31,FITNESS
32,ANIMALS
32,FITNESS
32,WRITING
32,BOARD_GAMES
32,FASHION
32,VOLUNTEERING
33,BOARD_GAMES
34,PHOTOGRAPHY
34,SPORTS
35,WRITING
35,SPORTS
35,FITNESS
35,MUSIC
35,VOLUNTEERING
36,ART
36,ANIMALS
36,HIKING
36,GARDENING
36,MUSIC
37,HIKING
37,GARDENING
38,FITNESS
38,DANCING
38,GAMING
38,SPORTS
38,ANIMALS
39,READING
39,MUSIC
39,FASHION
39,WRITING
39,YOGA
40,ART
40,BOARD_GAMES
40,PHOTOGRAPHY
40,FITNESS
41,HIKING
41,VOLUNTEERING
41,READING
41,SPORTS
41,FASHION
41,WRITING
42,YOGA
43,MOVIES
43,GAMING
44,FASHION
